Name  Description	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
ENSG00000000003	TSPAN6	2.44379656082971	1.51129458848198	1.06285130828327	1.24294748237516	1.34501104980671	2.0815998750025
ENSG00000000419	DPM1	36.7155995299056	33.7293474065751	38.6008270599241	92.6977148697683	73.8915445487562	94.1088733612242
ENSG00000000457	SCYL3	10.4789996528378	10.6477573279412	12.1020114874981	32.5783076959383	30.9912962726296	37.7257853889342
ENSG00000000460	C1orf112	18.7879079596588	21.2955146558825	23.4068844937837	20.5086334591901	19.3905759680468	20.6104086389137
ENSG00000000938	FGR	24.7507715680833	16.8761229047155	11.3773401409413	34.8025295065044	26.6200103607578	64.0156208472991
ENSG00000001036	FUCA2	73.3529975698646	87.7924765490897	87.5886100871619	63.324903312587	65.0929305979373	61.7798283889631
ENSG00000001084	GCLC	18.4360012548993	16.8532245018597	14.1310912578571	40.3630840329196	39.2575100162334	36.3894496667104
ENSG00000001167	NFYA	71.5739136735805	92.6927347602282	109.90848756111	167.896037553465	105.275135710913	121.657948250146
ENSG00000001460	STPG1	9.38417879358608	8.28922183379511	10.1453988517948	10.1725438689125	9.33101415803406	9.55994016667815
ENSG00000001461	NIPAL3	24.3402137458639	25.9667888384631	32.0546292293612	8.47166836671489	12.2732258294862	9.86832533334519
ENSG00000001497	LAS1L	82.4634711486377	106.225690847999	107.782784944544	33.3633271584911	35.5307085657273	39.6531926806032
ENSG00000001561	ENPP4	14.5650275025451	13.1665816420779	14.0344684116495	85.861503716705	70.8092275596158	87.1702071112158
ENSG00000001617	SEMA3F	7.91790085708826	10.5561637165181	9.03423612040776	1.21023833810213	2.91419060791454	4.24029604167176
ENSG00000001629	ANKIB1	24.9853760379229	28.3711211383208	33.6247504802342	23.2562015781247	24.5184305954348	27.4719785972552
ENSG00000001630	CYP51A1	66.529917572028	53.1700914311388	78.9891767746882	94.6929726704232	106.25587293473	80.4885285000967
ENSG00000001631	KRIT1	40.2151162050137	36.7977333892507	46.7413018529118	52.9561045780363	54.304821135946	47.0544366806121
ENSG00000002016	RAD52	8.62171426660722	10.785147745076	9.56566177454939	3.72884244712547	6.0525497241302	5.42243918056207
ENSG00000002330	BAD	12.3949361565283	17.9981446446491	13.2856413535408	9.15856039644853	9.13486671327058	9.48284387501139
ENSG00000002549	LAP3	55.2102519022648	64.5505976504652	65.8726254020106	192.493314046784	145.121088061437	185.313786403
ENSG00000002586	CD99	104.692244665945	84.1287320921636	98.7968602472399	246.299856375919	197.828708575737	204.793449430802
ENSG00000002587	HS3ST1	0.723363782005594	0.320577639981026	0.628048500349203	0.261673154184244	0.140105317688199	0.154192583333519
ENSG00000002726	AOC1	31.0459915087806	45.5678216830173	35.7262973852489	25.7093873986019	33.0368339108773	51.1405401389503
ENSG00000002746	HECW1	0.606061547085768	1.41970097705883	0.942072750523804	0.948565183917883	1.42907424041963	0.873757972223272
ENSG00000002822	MAD1L1	50.9873714451511	44.5144951516511	42.7072980237458	14.7845332114098	18.9702600149822	14.417006541684
ENSG00000002834	LASP1	158.670823101551	153.854368788037	167.713105304789	57.1755841892573	56.7426536637206	69.9006377778618
ENSG00000002919	SNX11	30.7527359214811	39.6600337462241	29.8081480550352	893.286730096462	755.924231054909	535.356649333977
ENSG00000002933	TMEM176A	0.703813409518956	1.35100576849147	0.845449904316234	0.359800587003335	0.952716160279754	1.31063695833491
ENSG00000003056	M6PR	102.365750340035	127.91047835243	123.991267395864	196.156738205364	168.518676115366	158.664168250191
ENSG00000003096	KLHL13	5.68915839361156	3.06838598267554	3.98569240606225	0.621473741187579	0.896674033204474	0.642469097222994
ENSG00000003137	CYP26B1	1.70088240633748	0.320577639981026	1.25609700069841	2.64944068611547	2.43783252777466	2.38998504166954
ENSG00000003147	ICA1	16.6373669861287	11.8842710821538	14.4692712195836	9.84545242618217	8.74257182374362	7.27275018056429
ENSG00000003249	DBNDD1	3.40176481267496	2.90809716268503	3.06777536709034	0.556055452641518	0.728547651978635	0.436878986111636
ENSG00000003393	ALS2	17.1456766707812	14.7923682448388	16.7882195285652	35.8492221232414	29.5902430957476	24.97919850003
ENSG00000003400	CASP10	24.8485234305165	14.4030953962904	16.9331537978766	56.4232738709775	51.6147990363325	54.5327769722877
ENSG00000003402	CFLAR	91.730347707304	82.5945391008259	82.5400663728164	1722.52895570633	1563.96764028983	1835.48281323832
ENSG00000003436	TFPI	2.32649432590988	1.92346583988616	2.8745296746752	3.85967902421759	3.25044337036622	6.03920951389615
ENSG00000003509	NDUFAF7	12.3949361565283	14.7465714391272	11.4256515640451	15.013497221321	13.3380262439166	14.5198015972397
ENSG00000003756	RBM5	199.824357185924	174.714813789659	178.438241233829	575.877194070974	560.701481388173	445.025494264424
ENSG00000003987	MTMR7	1.44672756401119	1.16781854564517	1.40103127000976	1.07940176101001	0.756568715516275	1.38773325000167
