logFC	logCPM	PValue
ENSG00000000003	-0.104049282589653	0.743455145035282	0.828670458434057
ENSG00000000419	1.25737017362309	5.94602635695815	9.55344528087343e-14
ENSG00000000457	1.60854363027286	4.48822817431986	3.45016893366911e-17
ENSG00000000460	-0.0689203052270049	4.37268419231656	0.713272228457174
ENSG00000000938	1.24239692808177	4.89619197567236	0.00104138884755768
ENSG00000001036	-0.386953185958196	6.19398738702978	0.0113381800500854
ENSG00000001084	1.23002720755199	4.78651616330488	1.77621851289222e-11
ENSG00000001167	0.526110258925029	6.80132526758973	0.0219754851924719
ENSG00000001460	0.0628926365078302	3.25216817373124	0.788485708330085
ENSG00000001461	-1.42636858151892	4.24054002604659	5.37869365999324e-10
ENSG00000001497	-1.4489809089553	6.07846668707977	1.58538446367456e-16
ENSG00000001561	2.5449940888742	5.57320816736779	7.92857113668854e-49
ENSG00000001617	-1.71129475116742	2.59917243944552	9.45704686668865e-05
ENSG00000001629	-0.208211034378069	4.75975178188497	0.272456265830045
ENSG00000001630	0.502270722850162	6.32299565862252	0.0105321804476246
ENSG00000001631	0.318372608955699	5.53563972892565	0.0585524676709586
ENSG00000002016	-0.927343965835464	2.89343254470775	0.00124477235457106
ENSG00000002330	-0.652456080874759	3.58134658924132	0.0069989563959294
ENSG00000002549	1.49422699814803	6.88403758519371	1.03387944032317e-17
ENSG00000002586	1.17370854804961	7.2864663024192	2.01830082392696e-12
ENSG00000002587	-1.59664845001816	-1.2051097748405	0.00490095326291137
ENSG00000002726	-0.0311656872069876	5.21308098824143	0.909316191674373
ENSG00000002746	0.13560360785528	0.113850033565765	0.800906178162758
ENSG00000002822	-1.5204515625545	4.96080919072279	1.88600358210485e-15
ENSG00000002834	-1.38511828544245	6.79118784571705	1.84344273496393e-18
ENSG00000002919	4.44598601319597	8.57283833613854	9.60637348760069e-70
ENSG00000002933	-0.13270280260629	-0.0338392556797752	0.827602324024493
ENSG00000003056	0.562890014852078	7.19281239226094	0.000646537014754988
ENSG00000003096	-2.55466143253964	1.3631241536128	7.68164862268975e-10
ENSG00000003137	1.18394642271543	0.868651810433279	0.035718979618909
ENSG00000003147	-0.734723118578998	3.52836093746321	0.0034105633363505
ENSG00000003249	-2.44278247189876	0.949464144689373	2.42043033464641e-10
ENSG00000003393	0.890962739155989	4.5372562076741	1.45019336275083e-05
ENSG00000003400	1.53174421326739	5.18913623355993	1.36905563394344e-11
ENSG00000003402	4.31747185643632	9.80811608340885	1.280274430049e-143
ENSG00000003436	0.885586702511892	1.77308886539822	0.017253240200765
ENSG00000003509	0.152388575113757	3.76758622116841	0.484704383057119
ENSG00000003756	1.51599767171644	8.47485326864275	5.75034035016447e-20
ENSG00000003987	-0.314199682109992	0.336111479582125	0.426499471268908
ENSG00000003989	5.5163112813192	7.08026901436737	3.73821653307644e-134
ENSG00000004059	0.0715039805135592	5.46058671684825	0.665586771165974
ENSG00000004139	-2.25281862675324	1.44866264323044	6.37248890183935e-09
ENSG00000004142	-0.955231606430228	5.78355427037413	6.36320198848961e-08
ENSG00000004399	-0.849674201970133	5.51883795504604	0.00172919031292929
ENSG00000004455	-1.15044037041113	8.24577058003375	8.93259702677992e-09
ENSG00000004468	0.832954527760735	4.50282729359971	0.00552846003096075
ENSG00000004478	2.22657170482142	6.58877901091703	4.02314344163551e-11
ENSG00000004487	-0.450895177680637	6.53639160436887	0.00678510080653239
ENSG00000004534	-0.228752461394729	6.61953859661821	0.117879020277163
ENSG00000004660	-1.52012401642434	1.22765860775191	0.000189992448416698
ENSG00000004700	-0.527291251810247	5.18830998835128	0.0425831179674071
ENSG00000004766	-0.83041398236466	3.71145938766187	0.000843198325802993
ENSG00000004777	-2.00998100267059	5.64477369059186	2.41076598722712e-23
ENSG00000004779	-0.977476504909726	5.09127417035179	1.13392559326927e-05
ENSG00000004799	-1.07506621767684	1.514351572653	0.00372429515094188
